Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1989","1989","gigagrams","360283.9497","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1990","1990","gigagrams","378170.8028","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1991","1991","gigagrams","379396.1797","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1992","1992","gigagrams","387133.9121","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1993","1993","gigagrams","391479.0327","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1994","1994","gigagrams","396839.8252","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1995","1995","gigagrams","400293.2259","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1996","1996","gigagrams","406522.8017","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1997","1997","gigagrams","404308.0822","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1998","1998","gigagrams","404920.6915","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1999","1999","gigagrams","400761.108","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2000","2000","gigagrams","392798.5055","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2001","2001","gigagrams","393312.7767","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2002","2002","gigagrams","393171.4351","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2003","2003","gigagrams","398944.955","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2004","2004","gigagrams","402037.4397","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2005","2005","gigagrams","402479.8692","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2006","2006","gigagrams","402519.776","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2007","2007","gigagrams","409016.3975","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2008","2008","gigagrams","405875.4631","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2009","2009","gigagrams","398374.5317","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2010","2010","gigagrams","400729.7732","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2011","2011","gigagrams","404994.6459","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2012","2012","gigagrams","404040.0709","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2013","2013","gigagrams","404155.4007","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2014","2014","gigagrams","402887.1715","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2015","2015","gigagrams","402005.799","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2016","2016","gigagrams","410424.3262","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","2017","2017","gigagrams","409617.8246","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1961","1961","gigagrams","312337.5409","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1962","1962","gigagrams","317573.2935","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1963","1963","gigagrams","317920.6615","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1964","1964","gigagrams","328849.8813","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1965","1965","gigagrams","342391.3872","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1966","1966","gigagrams","351508.5253","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1967","1967","gigagrams","362898.0934","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1968","1968","gigagrams","369382.2878","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1969","1969","gigagrams","371847.8726","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1970","1970","gigagrams","379964.4032","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1971","1971","gigagrams","389398.6445","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1972","1972","gigagrams","403710.9637","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1973","1973","gigagrams","416102.7694","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1974","1974","gigagrams","430755.478","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1975","1975","gigagrams","443355.5474","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1976","1976","gigagrams","465926.7734","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1977","1977","gigagrams","482278.3957","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1978","1978","gigagrams","476824.8269","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1979","1979","gigagrams","483203.6448","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1980","1980","gigagrams","503693.7184","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1981","1981","gigagrams","508052.3342","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1982","1982","gigagrams","510531.5977","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1983","1983","gigagrams","507669.4008","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1984","1984","gigagrams","517382.1639","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1985","1985","gigagrams","519445.9295","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1986","1986","gigagrams","528932.1542","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1987","1987","gigagrams","539037.6099","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1988","1988","gigagrams","551309.9875","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1989","1989","gigagrams","559731.7642","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1990","1990","gigagrams","584198.0726","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1991","1991","gigagrams","593401.7752","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1992","1992","gigagrams","603725.7279","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1993","1993","gigagrams","607535.9415","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1994","1994","gigagrams","621014.4501","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1995","1995","gigagrams","628930.7532","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1996","1996","gigagrams","609515.3697","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1997","1997","gigagrams","617910.7483","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1998","1998","gigagrams","626201.3187","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","1999","1999","gigagrams","630093.2151","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5207","South America","7231","Emissions (CO2eq)","1711","Agriculture total","2000","2000","gigagrams","635212.849","A","Aggregate, may include official, semi-official, estimated or calculated data",""
